Number,Verse
0,Matthew 3:15
1,Matthew 4:4
2,Matthew 4:7
3,Matthew 4:10
4,Matthew 4:17
5,Matthew 4:19
6,Matthew 5:3
7,Matthew 5:4
8,Matthew 5:5
9,Matthew 5:6
10,Matthew 5:7
11,Matthew 5:8
12,Matthew 5:9
13,Matthew 5:10
14,Matthew 5:11
15,Matthew 5:12
16,Matthew 5:13
17,Matthew 5:14
18,Matthew 5:15
19,Matthew 5:16
20,Matthew 5:17
21,Matthew 5:18
22,Matthew 5:19
23,Matthew 5:20
24,Matthew 5:21
25,Matthew 5:22
26,Matthew 5:23
27,Matthew 5:24
28,Matthew 5:25
29,Matthew 5:26
30,Matthew 5:27
31,Matthew 5:28
32,Matthew 5:29
33,Matthew 5:30
34,Matthew 5:31
35,Matthew 5:32
36,Matthew 5:33
37,Matthew 5:34
38,Matthew 5:35
39,Matthew 5:36
40,Matthew 5:37
41,Matthew 5:38
42,Matthew 5:39
43,Matthew 5:40
44,Matthew 5:41
45,Matthew 5:42
46,Matthew 5:43
47,Matthew 5:44
48,Matthew 5:45
49,Matthew 5:46
50,Matthew 5:47
51,Matthew 5:48
52,Matthew 6:1
53,Matthew 6:2
54,Matthew 6:3
55,Matthew 6:4
56,Matthew 6:5
57,Matthew 6:6
58,Matthew 6:7
59,Matthew 6:8
60,Matthew 6:9
61,Matthew 6:10
62,Matthew 6:11
63,Matthew 6:12
64,Matthew 6:13
65,Matthew 6:14
66,Matthew 6:15
67,Matthew 6:16
68,Matthew 6:17
69,Matthew 6:18
70,Matthew 6:19
71,Matthew 6:20
72,Matthew 6:21
73,Matthew 6:22
74,Matthew 6:23
75,Matthew 6:24
76,Matthew 6:25
77,Matthew 6:26
78,Matthew 6:27
79,Matthew 6:28
80,Matthew 6:29
81,Matthew 6:30
82,Matthew 6:31
83,Matthew 6:32
84,Matthew 6:33
85,Matthew 6:34
86,Matthew 7:1
87,Matthew 7:2
88,Matthew 7:3
89,Matthew 7:4
90,Matthew 7:5
91,Matthew 7:6
92,Matthew 7:7
93,Matthew 7:8
94,Matthew 7:9
95,Matthew 7:10
96,Matthew 7:11
97,Matthew 7:12
98,Matthew 7:13
99,Matthew 7:14
100,Matthew 7:15
101,Matthew 7:16
102,Matthew 7:17
103,Matthew 7:18
104,Matthew 7:19
105,Matthew 7:20
106,Matthew 7:21
107,Matthew 7:22
108,Matthew 7:23
109,Matthew 7:24
110,Matthew 7:25
111,Matthew 7:26
112,Matthew 7:27
113,Matthew 8:3
114,Matthew 8:4
115,Matthew 8:7
116,Matthew 8:10
117,Matthew 8:11
118,Matthew 8:12
119,Matthew 8:13
120,Matthew 8:20
121,Matthew 8:22
122,Matthew 8:26
123,Matthew 8:32
124,Matthew 9:2
125,Matthew 9:4
126,Matthew 9:5
127,Matthew 9:6
128,Matthew 9:9
129,Matthew 9:12
130,Matthew 9:13
131,Matthew 9:15
132,Matthew 9:16
133,Matthew 9:17
134,Matthew 9:22
135,Matthew 9:24
136,Matthew 9:28
137,Matthew 9:29
138,Matthew 9:30
139,Matthew 9:37
140,Matthew 9:38
141,Matthew 10:5
142,Matthew 10:6
143,Matthew 10:7
144,Matthew 10:8
145,Matthew 10:9
146,Matthew 10:10
147,Matthew 10:11
148,Matthew 10:12
149,Matthew 10:13
150,Matthew 10:14
151,Matthew 10:15
152,Matthew 10:16
153,Matthew 10:17
154,Matthew 10:18
155,Matthew 10:19
156,Matthew 10:20
157,Matthew 10:21
158,Matthew 10:22
159,Matthew 10:23
160,Matthew 10:24
161,Matthew 10:25
162,Matthew 10:26
163,Matthew 10:27
164,Matthew 10:28
165,Matthew 10:29
166,Matthew 10:30
167,Matthew 10:31
168,Matthew 10:32
169,Matthew 10:33
170,Matthew 10:34
171,Matthew 10:35
172,Matthew 10:36
173,Matthew 10:37
174,Matthew 10:38
175,Matthew 10:39
176,Matthew 10:40
177,Matthew 10:41
178,Matthew 10:42
179,Matthew 11:4
180,Matthew 11:5
181,Matthew 11:6
182,Matthew 11:7
183,Matthew 11:8
184,Matthew 11:9
185,Matthew 11:10
186,Matthew 11:11
187,Matthew 11:12
188,Matthew 11:13
189,Matthew 11:14
190,Matthew 11:15
191,Matthew 11:16
192,Matthew 11:17
193,Matthew 11:18
194,Matthew 11:19
195,Matthew 11:21
196,Matthew 11:22
197,Matthew 11:23
198,Matthew 11:24
199,Matthew 11:25
200,Matthew 11:26
201,Matthew 11:27
202,Matthew 11:28
203,Matthew 11:29
204,Matthew 11:30
205,Matthew 12:3
206,Matthew 12:4
207,Matthew 12:5
208,Matthew 12:6
209,Matthew 12:7
210,Matthew 12:8
211,Matthew 12:11
212,Matthew 12:12
213,Matthew 12:13
214,Matthew 12:25
215,Matthew 12:26
216,Matthew 12:27
217,Matthew 12:28
218,Matthew 12:29
219,Matthew 12:30
220,Matthew 12:31
221,Matthew 12:32
222,Matthew 12:33
223,Matthew 12:34
224,Matthew 12:35
225,Matthew 12:36
226,Matthew 12:37
227,Matthew 12:39
228,Matthew 12:40
229,Matthew 12:41
230,Matthew 12:42
231,Matthew 12:43
232,Matthew 12:44
233,Matthew 12:45
234,Matthew 12:48
235,Matthew 12:49
236,Matthew 12:50
237,Matthew 13:3
238,Matthew 13:4
239,Matthew 13:5
240,Matthew 13:6
241,Matthew 13:7
242,Matthew 13:8
243,Matthew 13:9
244,Matthew 13:11
245,Matthew 13:12
246,Matthew 13:13
247,Matthew 13:14
248,Matthew 13:15
249,Matthew 13:16
250,Matthew 13:17
251,Matthew 13:18
252,Matthew 13:19
253,Matthew 13:20
254,Matthew 13:21
255,Matthew 13:22
256,Matthew 13:23
257,Matthew 13:24
258,Matthew 13:25
259,Matthew 13:26
260,Matthew 13:27
261,Matthew 13:28
262,Matthew 13:29
263,Matthew 13:30
264,Matthew 13:31
265,Matthew 13:32
266,Matthew 13:33
267,Matthew 13:37
268,Matthew 13:38
269,Matthew 13:39
270,Matthew 13:40
271,Matthew 13:41
272,Matthew 13:42
273,Matthew 13:43
274,Matthew 13:44
275,Matthew 13:45
276,Matthew 13:46
277,Matthew 13:47
278,Matthew 13:48
279,Matthew 13:49
280,Matthew 13:50
281,Matthew 13:51
282,Matthew 13:52
283,Matthew 13:57
284,Matthew 14:16
285,Matthew 14:18
286,Matthew 14:27
287,Matthew 14:29
288,Matthew 14:31
289,Matthew 15:3
290,Matthew 15:4
291,Matthew 15:5
292,Matthew 15:6
293,Matthew 15:7
294,Matthew 15:8
295,Matthew 15:9
296,Matthew 15:10
297,Matthew 15:11
298,Matthew 15:13
299,Matthew 15:16
300,Matthew 15:17
301,Matthew 15:18
302,Matthew 15:19
303,Matthew 15:20
304,Matthew 15:24
305,Matthew 15:26
306,Matthew 15:28
307,Matthew 15:32
308,Matthew 15:34
309,Matthew 16:2
310,Matthew 16:3
311,Matthew 16:4
312,Matthew 16:6
313,Matthew 16:8
314,Matthew 16:9
315,Matthew 16:10
316,Matthew 16:11
317,Matthew 16:13
318,Matthew 16:15
319,Matthew 16:17
320,Matthew 16:18
321,Matthew 16:19
322,Matthew 16:23
323,Matthew 16:24
324,Matthew 16:25
325,Matthew 16:26
326,Matthew 16:27
327,Matthew 16:28
328,Matthew 17:7
329,Matthew 17:9
330,Matthew 17:11
331,Matthew 17:12
332,Matthew 17:17
333,Matthew 17:20
334,Matthew 17:21
335,Matthew 17:22
336,Matthew 17:23
337,Matthew 17:25
338,Matthew 17:26
339,Matthew 17:27
340,Matthew 18:3
341,Matthew 18:4
342,Matthew 18:5
343,Matthew 18:6
344,Matthew 18:7
345,Matthew 18:8
346,Matthew 18:9
347,Matthew 18:10
348,Matthew 18:11
349,Matthew 18:12
350,Matthew 18:13
351,Matthew 18:14
352,Matthew 18:15
353,Matthew 18:16
354,Matthew 18:17
355,Matthew 18:18
356,Matthew 18:19
357,Matthew 18:20
358,Matthew 18:22
359,Matthew 18:23
360,Matthew 18:24
361,Matthew 18:25
362,Matthew 18:26
363,Matthew 18:27
364,Matthew 18:28
365,Matthew 18:29
366,Matthew 18:30
367,Matthew 18:31
368,Matthew 18:32
369,Matthew 18:33
370,Matthew 18:34
371,Matthew 18:35
372,Matthew 19:4
373,Matthew 19:5
374,Matthew 19:6
375,Matthew 19:8
376,Matthew 19:9
377,Matthew 19:11
378,Matthew 19:12
379,Matthew 19:14
380,Matthew 19:17
381,Matthew 19:18
382,Matthew 19:19
383,Matthew 19:21
384,Matthew 19:23
385,Matthew 19:24
386,Matthew 19:26
387,Matthew 19:28
388,Matthew 19:29
389,Matthew 19:30
390,Matthew 20:1
391,Matthew 20:2
392,Matthew 20:3
393,Matthew 20:4
394,Matthew 20:5
395,Matthew 20:6
396,Matthew 20:7
397,Matthew 20:8
398,Matthew 20:9
399,Matthew 20:10
400,Matthew 20:11
401,Matthew 20:12
402,Matthew 20:13
403,Matthew 20:14
404,Matthew 20:15
405,Matthew 20:16
406,Matthew 20:18
407,Matthew 20:19
408,Matthew 20:21
409,Matthew 20:22
410,Matthew 20:23
411,Matthew 20:25
412,Matthew 20:26
413,Matthew 20:27
414,Matthew 20:28
415,Matthew 20:32
416,Matthew 21:2
417,Matthew 21:3
418,Matthew 21:13
419,Matthew 21:16
420,Matthew 21:19
421,Matthew 21:21
422,Matthew 21:22
423,Matthew 21:24
424,Matthew 21:25
425,Matthew 21:27
426,Matthew 21:28
427,Matthew 21:29
428,Matthew 21:30
429,Matthew 21:31
430,Matthew 21:31
431,Matthew 21:32
432,Matthew 21:33
433,Matthew 21:34
434,Matthew 21:35
435,Matthew 21:36
436,Matthew 21:37
437,Matthew 21:38
438,Matthew 21:39
439,Matthew 21:40
440,Matthew 21:42
441,Matthew 21:43
442,Matthew 21:44
443,Matthew 22:2
444,Matthew 22:3
445,Matthew 22:4
446,Matthew 22:5
447,Matthew 22:6
448,Matthew 22:7
449,Matthew 22:8
450,Matthew 22:9
451,Matthew 22:10
452,Matthew 22:11
453,Matthew 22:12
454,Matthew 22:13
455,Matthew 22:14
456,Matthew 22:18
457,Matthew 22:20
458,Matthew 22:21
459,Matthew 22:29
460,Matthew 22:30
461,Matthew 22:31
462,Matthew 22:32
463,Matthew 22:37
464,Matthew 22:38
465,Matthew 22:39
466,Matthew 22:40
467,Matthew 22:42
468,Matthew 22:43
469,Matthew 22:44
470,Matthew 22:45
471,Matthew 23:2
472,Matthew 23:3
473,Matthew 23:4
474,Matthew 23:5
475,Matthew 23:6
476,Matthew 23:7
477,Matthew 23:8
478,Matthew 23:9
479,Matthew 23:10
480,Matthew 23:11
481,Matthew 23:12
482,Matthew 23:13
483,Matthew 23:14
484,Matthew 23:15
485,Matthew 23:16
486,Matthew 23:17
487,Matthew 23:18
488,Matthew 23:19
489,Matthew 23:20
490,Matthew 23:21
491,Matthew 23:22
492,Matthew 23:23
493,Matthew 23:24
494,Matthew 23:25
495,Matthew 23:26
496,Matthew 23:27
497,Matthew 23:28
498,Matthew 23:29
499,Matthew 23:30
500,Matthew 23:31
501,Matthew 23:32
502,Matthew 23:33
503,Matthew 23:34
504,Matthew 23:35
505,Matthew 23:36
506,Matthew 23:37
507,Matthew 23:38
508,Matthew 23:39
509,Matthew 24:2
510,Matthew 24:4
511,Matthew 24:5
512,Matthew 24:6
513,Matthew 24:7
514,Matthew 24:8
515,Matthew 24:9
516,Matthew 24:10
517,Matthew 24:11
518,Matthew 24:12
519,Matthew 24:13
520,Matthew 24:14
521,Matthew 24:15
522,Matthew 24:16
523,Matthew 24:17
524,Matthew 24:18
525,Matthew 24:19
526,Matthew 24:20
527,Matthew 24:21
528,Matthew 24:22
529,Matthew 24:23
530,Matthew 24:24
531,Matthew 24:25
532,Matthew 24:26
533,Matthew 24:27
534,Matthew 24:28
535,Matthew 24:29
536,Matthew 24:30
537,Matthew 24:31
538,Matthew 24:32
539,Matthew 24:33
540,Matthew 24:34
541,Matthew 24:35
542,Matthew 24:36
543,Matthew 24:37
544,Matthew 24:38
545,Matthew 24:39
546,Matthew 24:40
547,Matthew 24:41
548,Matthew 24:42
549,Matthew 24:43
550,Matthew 24:44
551,Matthew 24:45
552,Matthew 24:46
553,Matthew 24:47
554,Matthew 24:48
555,Matthew 24:49
556,Matthew 24:50
557,Matthew 24:51
558,Matthew 25:1
559,Matthew 25:2
560,Matthew 25:3
561,Matthew 25:4
562,Matthew 25:5
563,Matthew 25:6
564,Matthew 25:7
565,Matthew 25:8
566,Matthew 25:9
567,Matthew 25:10
568,Matthew 25:11
569,Matthew 25:12
570,Matthew 25:13
571,Matthew 25:14
572,Matthew 25:15
573,Matthew 25:16
574,Matthew 25:17
575,Matthew 25:18
576,Matthew 25:19
577,Matthew 25:20
578,Matthew 25:21
579,Matthew 25:22
580,Matthew 25:23
581,Matthew 25:24
582,Matthew 25:25
583,Matthew 25:26
584,Matthew 25:27
585,Matthew 25:28
586,Matthew 25:29
587,Matthew 25:30
588,Matthew 25:31
589,Matthew 25:32
590,Matthew 25:33
591,Matthew 25:34
592,Matthew 25:35
593,Matthew 25:36
594,Matthew 25:37
595,Matthew 25:38
596,Matthew 25:39
597,Matthew 25:40
598,Matthew 25:41
599,Matthew 25:42
600,Matthew 25:43
601,Matthew 25:44
602,Matthew 25:45
603,Matthew 25:46
604,Matthew 26:2
605,Matthew 26:10
606,Matthew 26:11
607,Matthew 26:12
608,Matthew 26:13
609,Matthew 26:18
610,Matthew 26:21
611,Matthew 26:23
612,Matthew 26:24
613,Matthew 26:25
614,Matthew 26:26
615,Matthew 26:27
616,Matthew 26:28
617,Matthew 26:29
618,Matthew 26:31
619,Matthew 26:32
620,Matthew 26:34
621,Matthew 26:36
622,Matthew 26:38
623,Matthew 26:39
624,Matthew 26:40
625,Matthew 26:41
626,Matthew 26:45
627,Matthew 26:46
628,Matthew 26:50
629,Matthew 26:52
630,Matthew 26:53
631,Matthew 26:54
632,Matthew 26:55
633,Matthew 26:56
634,Matthew 26:64
635,Matthew 26:75
636,Matthew 27:11
637,Matthew 27:46
638,Matthew 27:63
639,Matthew 28:9
640,Matthew 28:10
641,Matthew 28:18
642,Matthew 28:19
643,Matthew 28:20
644,Mark 1:15
645,Mark 1:17
646,Mark 1:25
647,Mark 1:38
648,Mark 1:41
649,Mark 1:44
650,Mark 2:5
651,Mark 2:8
652,Mark 2:9
653,Mark 2:10
654,Mark 2:11
655,Mark 2:14
656,Mark 2:17
657,Mark 2:19
658,Mark 2:20
659,Mark 2:21
660,Mark 2:22
661,Mark 2:25
662,Mark 2:26
663,Mark 2:27
664,Mark 2:28
665,Mark 3:3
666,Mark 3:4
667,Mark 3:5
668,Mark 3:23
669,Mark 3:24
670,Mark 3:25
671,Mark 3:26
672,Mark 3:27
673,Mark 3:28
674,Mark 3:29
675,Mark 3:33
676,Mark 3:34
677,Mark 3:35
678,Mark 4:3
679,Mark 4:4
680,Mark 4:5
681,Mark 4:6
682,Mark 4:7
683,Mark 4:8
684,Mark 4:9
685,Mark 4:11
686,Mark 4:12
687,Mark 4:13
688,Mark 4:14
689,Mark 4:15
690,Mark 4:16
691,Mark 4:17
692,Mark 4:18
693,Mark 4:19
694,Mark 4:20
695,Mark 4:21
696,Mark 4:22
697,Mark 4:23
698,Mark 4:24
699,Mark 4:25
700,Mark 4:26
701,Mark 4:27
702,Mark 4:28
703,Mark 4:29
704,Mark 4:30
705,Mark 4:31
706,Mark 4:32
707,Mark 4:35
708,Mark 4:39
709,Mark 4:40
710,Mark 5:8
711,Mark 5:9
712,Mark 5:19
713,Mark 5:30
714,Mark 5:34
715,Mark 5:36
716,Mark 5:39
717,Mark 5:41
718,Mark 6:4
719,Mark 6:10
720,Mark 6:11
721,Mark 6:31
722,Mark 6:37
723,Mark 6:38
724,Mark 6:50
725,Mark 7:6
726,Mark 7:7
727,Mark 7:8
728,Mark 7:9
729,Mark 7:10
730,Mark 7:11
731,Mark 7:12
732,Mark 7:13
733,Mark 7:14
734,Mark 7:15
735,Mark 7:16
736,Mark 7:18
737,Mark 7:19
738,Mark 7:20
739,Mark 7:21
740,Mark 7:22
741,Mark 7:23
742,Mark 7:27
743,Mark 7:29
744,Mark 7:34
745,Mark 8:2
746,Mark 8:3
747,Mark 8:5
748,Mark 8:12
749,Mark 8:15
750,Mark 8:17
751,Mark 8:18
752,Mark 8:19
753,Mark 8:20
754,Mark 8:21
755,Mark 8:26
756,Mark 8:27
757,Mark 8:29
758,Mark 8:33
759,Mark 8:34
760,Mark 8:35
761,Mark 8:36
762,Mark 8:37
763,Mark 8:38
764,Mark 9:1
765,Mark 9:12
766,Mark 9:13
767,Mark 9:16
768,Mark 9:19
769,Mark 9:21
770,Mark 9:23
771,Mark 9:25
772,Mark 9:29
773,Mark 9:31
774,Mark 9:33
775,Mark 9:35
776,Mark 9:37
777,Mark 9:39
778,Mark 9:40
779,Mark 9:41
780,Mark 9:42
781,Mark 9:43
782,Mark 9:44
783,Mark 9:45
784,Mark 9:46
785,Mark 9:47
786,Mark 9:48
787,Mark 9:49
788,Mark 9:50
789,Mark 10:3
790,Mark 10:5
791,Mark 10:6
792,Mark 10:7
793,Mark 10:8
794,Mark 10:9
795,Mark 10:11
796,Mark 10:12
797,Mark 10:14
798,Mark 10:15
799,Mark 10:18
800,Mark 10:19
801,Mark 10:21
802,Mark 10:23
803,Mark 10:24
804,Mark 10:25
805,Mark 10:27
806,Mark 10:29
807,Mark 10:30
808,Mark 10:31
809,Mark 10:33
810,Mark 10:34
811,Mark 10:36
812,Mark 10:38
813,Mark 10:39
814,Mark 10:40
815,Mark 10:42
816,Mark 10:43
817,Mark 10:44
818,Mark 10:45
819,Mark 10:51
820,Mark 10:52
821,Mark 11:2
822,Mark 11:3
823,Mark 11:14
824,Mark 11:17
825,Mark 11:22
826,Mark 11:23
827,Mark 11:24
828,Mark 11:25
829,Mark 11:26
830,Mark 11:29
831,Mark 11:30
832,Mark 11:33
833,Mark 12:1
834,Mark 12:2
835,Mark 12:3
836,Mark 12:4
837,Mark 12:5
838,Mark 12:6
839,Mark 12:7
840,Mark 12:8
841,Mark 12:9
842,Mark 12:10
843,Mark 12:11
844,Mark 12:15
845,Mark 12:16
846,Mark 12:17
847,Mark 12:24
848,Mark 12:25
849,Mark 12:26
850,Mark 12:27
851,Mark 12:29
852,Mark 12:30
853,Mark 12:31
854,Mark 12:34
855,Mark 12:35
856,Mark 12:36
857,Mark 12:37
858,Mark 12:38
859,Mark 12:39
860,Mark 12:40
861,Mark 12:43
862,Mark 12:44
863,Mark 13:2
864,Mark 13:5
865,Mark 13:6
866,Mark 13:7
867,Mark 13:8
868,Mark 13:9
869,Mark 13:10
870,Mark 13:11
871,Mark 13:12
872,Mark 13:13
873,Mark 13:14
874,Mark 13:15
875,Mark 13:16
876,Mark 13:17
877,Mark 13:18
878,Mark 13:19
879,Mark 13:20
880,Mark 13:21
881,Mark 13:22
882,Mark 13:23
883,Mark 13:24
884,Mark 13:25
885,Mark 13:26
886,Mark 13:27
887,Mark 13:28
888,Mark 13:29
889,Mark 13:30
890,Mark 13:31
891,Mark 13:32
892,Mark 13:33
893,Mark 13:34
894,Mark 13:35
895,Mark 13:36
896,Mark 13:37
897,Mark 14:6
898,Mark 14:7
899,Mark 14:8
900,Mark 14:9
901,Mark 14:13
902,Mark 14:14
903,Mark 14:15
904,Mark 14:18
905,Mark 14:20
906,Mark 14:21
907,Mark 14:22
908,Mark 14:24
909,Mark 14:27
910,Mark 14:28
911,Mark 14:30
912,Mark 14:32
913,Mark 14:34
914,Mark 14:36
915,Mark 14:37
916,Mark 14:38
917,Mark 14:41
918,Mark 14:42
919,Mark 14:48
920,Mark 14:49
921,Mark 14:62
922,Mark 14:72
923,Mark 15:2
924,Mark 15:34
925,Mark 16:15
926,Mark 16:16
927,Mark 16:17
928,Mark 16:18
929,Luke 2:49
930,Luke 4:4
931,Luke 4:8
932,Luke 4:12
933,Luke 4:18
934,Luke 4:19
935,Luke 4:21
936,Luke 4:23
937,Luke 4:24
938,Luke 4:25
939,Luke 4:26
940,Luke 4:27
941,Luke 4:35
942,Luke 4:43
943,Luke 5:4
944,Luke 5:10
945,Luke 5:14
946,Luke 5:20
947,Luke 5:22
948,Luke 5:23
949,Luke 5:24
950,Luke 5:27
951,Luke 5:31
952,Luke 5:32
953,Luke 5:34
954,Luke 5:35
955,Luke 5:36
956,Luke 5:37
957,Luke 5:38
958,Luke 5:39
959,Luke 6:3
960,Luke 6:4
961,Luke 6:5
962,Luke 6:8
963,Luke 6:9
964,Luke 6:10
965,Luke 6:20
966,Luke 6:21
967,Luke 6:22
968,Luke 6:23
969,Luke 6:24
970,Luke 6:25
971,Luke 6:26
972,Luke 6:27
973,Luke 6:28
974,Luke 6:29
975,Luke 6:30
976,Luke 6:31
977,Luke 6:32
978,Luke 6:33
979,Luke 6:34
980,Luke 6:35
981,Luke 6:36
982,Luke 6:37
983,Luke 6:38
984,Luke 6:39
985,Luke 6:40
986,Luke 6:41
987,Luke 6:42
988,Luke 6:43
989,Luke 6:44
990,Luke 6:45
991,Luke 6:46
992,Luke 6:47
993,Luke 6:48
994,Luke 6:49
995,Luke 7:9
996,Luke 7:13
997,Luke 7:14
998,Luke 7:22
999,Luke 7:23
1000,Luke 7:24
1001,Luke 7:25
1002,Luke 7:26
1003,Luke 7:27
1004,Luke 7:28
1005,Luke 7:31
1006,Luke 7:32
